#twotheta, yobs, ycal, bkg, diff
2.336000e+001,2.660952e+004,2.659021e+004,2.555821e+004,1.931016e+001
2.337000e+001,2.659810e+004,2.658210e+004,2.554365e+004,1.600023e+001
2.338000e+001,2.659506e+004,2.658542e+004,2.552909e+004,9.638080e+000
2.339000e+001,2.651949e+004,2.660091e+004,2.551453e+004,-8.141692e+001
2.340000e+001,2.688273e+004,2.662968e+004,2.549997e+004,2.530543e+002
2.341000e+001,2.666038e+004,2.667316e+004,2.548540e+004,-1.278184e+001
2.342000e+001,2.704247e+004,2.673294e+004,2.547084e+004,3.095298e+002
2.343000e+001,2.669690e+004,2.681051e+004,2.545628e+004,-1.136107e+002
2.344000e+001,2.698031e+004,2.690681e+004,2.544172e+004,7.350012e+001
2.345000e+001,2.738385e+004,2.702175e+004,2.542716e+004,3.621065e+002
2.346000e+001,2.732854e+004,2.715403e+004,2.541260e+004,1.745118e+002
2.347000e+001,2.747826e+004,2.730197e+004,2.539803e+004,1.762929e+002
2.348000e+001,2.772468e+004,2.746589e+004,2.538347e+004,2.587848e+002
2.349000e+001,2.785535e+004,2.765270e+004,2.536891e+004,2.026501e+002
2.350000e+001,2.800252e+004,2.788164e+004,2.535435e+004,1.208832e+002
2.351000e+001,2.843936e+004,2.818796e+004,2.533979e+004,2.514001e+002
2.352000e+001,2.863413e+004,2.861667e+004,2.532522e+004,1.745886e+001
2.353000e+001,2.931054e+004,2.919449e+004,2.531066e+004,1.160557e+002
2.354000e+001,2.982796e+004,2.987295e+004,2.529610e+004,-4.499019e+001
2.355000e+001,3.019888e+004,3.047624e+004,2.528154e+004,-2.773598e+002
2.356000e+001,3.071384e+004,3.076094e+004,2.526698e+004,-4.709448e+001
2.357000e+001,3.074126e+004,3.081876e+004,2.525241e+004,-7.750185e+001
2.358000e+001,3.093551e+004,3.083481e+004,2.523785e+004,1.007012e+002
2.359000e+001,3.138361e+004,3.083674e+004,2.522329e+004,5.468651e+002
2.360000e+001,3.112204e+004,3.081734e+004,2.520873e+004,3.047020e+002
2.361000e+001,3.092585e+004,3.070533e+004,2.519417e+004,2.205242e+002
2.362000e+001,3.063886e+004,3.039826e+004,2.517960e+004,2.405998e+002
2.363000e+001,3.014925e+004,2.996903e+004,2.516504e+004,1.802202e+002
2.364000e+001,2.942119e+004,2.950309e+004,2.515048e+004,-8.189917e+001
2.365000e+001,2.875164e+004,2.902009e+004,2.513592e+004,-2.684484e+002
2.366000e+001,2.848812e+004,2.853864e+004,2.512136e+004,-5.052952e+001
2.367000e+001,2.826248e+004,2.807464e+004,2.510679e+004,1.878401e+002
2.368000e+001,2.765622e+004,2.764030e+004,2.509223e+004,1.591727e+001
2.369000e+001,2.719362e+004,2.724399e+004,2.507767e+004,-5.037086e+001
2.370000e+001,2.682861e+004,2.689054e+004,2.506311e+004,-6.193630e+001
2.371000e+001,2.654155e+004,2.658174e+004,2.504855e+004,-4.019771e+001
2.372000e+001,2.663718e+004,2.631698e+004,2.503398e+004,3.202035e+002
2.373000e+001,2.623822e+004,2.609380e+004,2.501942e+004,1.444246e+002
2.374000e+001,2.624740e+004,2.590850e+004,2.500486e+004,3.388984e+002
2.375000e+001,2.606243e+004,2.575664e+004,2.499030e+004,3.057946e+002
2.376000e+001,2.571979e+004,2.563347e+004,2.497574e+004,8.632909e+001
2.377000e+001,2.567297e+004,2.553427e+004,2.496117e+004,1.387039e+002
2.378000e+001,2.561673e+004,2.545463e+004,2.494661e+004,1.620994e+002
2.379000e+001,2.539909e+004,2.539061e+004,2.493205e+004,8.484664e+000
2.380000e+001,2.557257e+004,2.533881e+004,2.491749e+004,2.337543e+002
2.381000e+001,2.568003e+004,2.529644e+004,2.490293e+004,3.835918e+002
2.382000e+001,2.522428e+004,2.526122e+004,2.488837e+004,-3.694882e+001
2.383000e+001,2.527824e+004,2.523143e+004,2.487380e+004,4.681127e+001
2.384000e+001,2.534557e+004,2.520571e+004,2.485924e+004,1.398552e+002
2.385000e+001,2.506374e+004,2.518310e+004,2.484468e+004,-1.193645e+002
2.386000e+001,2.512660e+004,2.516290e+004,2.483012e+004,-3.630452e+001
