#twotheta, yobs, ycal, bkg, diff
2.393000e+001,7.483055e+003,7.548233e+003,7.340459e+003,-6.517791e+001
2.394000e+001,7.672877e+003,7.544600e+003,7.335494e+003,1.282772e+002
2.395000e+001,7.509751e+003,7.541704e+003,7.330533e+003,-3.195324e+001
2.396000e+001,7.515970e+003,7.539546e+003,7.325575e+003,-2.357561e+001
2.397000e+001,7.484711e+003,7.538135e+003,7.320620e+003,-5.342411e+001
2.398000e+001,7.535869e+003,7.537491e+003,7.315669e+003,-1.621862e+000
2.399000e+001,7.571256e+003,7.537642e+003,7.310721e+003,3.361427e+001
2.400000e+001,7.562909e+003,7.538626e+003,7.305777e+003,2.428309e+001
2.401000e+001,7.700824e+003,7.540491e+003,7.300836e+003,1.603324e+002
2.402000e+001,7.663474e+003,7.543297e+003,7.295898e+003,1.201774e+002
2.403000e+001,7.566214e+003,7.547114e+003,7.290964e+003,1.910068e+001
2.404000e+001,7.476229e+003,7.552027e+003,7.286033e+003,-7.579812e+001
2.405000e+001,7.536711e+003,7.558137e+003,7.281105e+003,-2.142582e+001
2.406000e+001,7.514389e+003,7.565562e+003,7.276181e+003,-5.117309e+001
2.407000e+001,7.472994e+003,7.574439e+003,7.271261e+003,-1.014447e+002
2.408000e+001,7.558232e+003,7.584930e+003,7.266343e+003,-2.669776e+001
2.409000e+001,7.536476e+003,7.597223e+003,7.261430e+003,-6.074673e+001
2.410000e+001,7.694556e+003,7.611539e+003,7.256519e+003,8.301694e+001
2.411000e+001,7.581027e+003,7.628135e+003,7.251612e+003,-4.710802e+001
2.412000e+001,7.800207e+003,7.647315e+003,7.246708e+003,1.528923e+002
2.413000e+001,7.654402e+003,7.669431e+003,7.241808e+003,-1.502917e+001
2.414000e+001,7.812319e+003,7.694903e+003,7.236911e+003,1.174162e+002
2.415000e+001,7.751701e+003,7.724222e+003,7.232018e+003,2.747874e+001
2.416000e+001,7.807373e+003,7.757971e+003,7.227128e+003,4.940210e+001
2.417000e+001,7.830572e+003,7.796840e+003,7.222241e+003,3.373215e+001
2.418000e+001,7.943695e+003,7.841651e+003,7.217358e+003,1.020446e+002
2.419000e+001,7.956067e+003,7.893381e+003,7.212478e+003,6.268629e+001
2.420000e+001,8.084440e+003,7.953193e+003,7.207601e+003,1.312474e+002
2.421000e+001,8.084219e+003,8.022463e+003,7.202728e+003,6.175551e+001
2.422000e+001,8.125209e+003,8.102810e+003,7.197859e+003,2.239912e+001
2.423000e+001,8.120402e+003,8.196105e+003,7.192992e+003,-7.570341e+001
2.424000e+001,8.253474e+003,8.304461e+003,7.188129e+003,-5.098756e+001
2.425000e+001,8.446671e+003,8.430154e+003,7.183270e+003,1.651673e+001
2.426000e+001,8.694710e+003,8.575448e+003,7.178414e+003,1.192617e+002
2.427000e+001,8.817575e+003,8.742244e+003,7.173561e+003,7.533131e+001
2.428000e+001,9.024255e+003,8.931469e+003,7.168712e+003,9.278595e+001
2.429000e+001,9.100264e+003,9.142134e+003,7.163866e+003,-4.187011e+001
2.430000e+001,9.365500e+003,9.370061e+003,7.159023e+003,-4.561444e+000
2.431000e+001,9.624571e+003,9.606539e+003,7.154184e+003,1.803182e+001
2.432000e+001,9.811777e+003,9.837553e+003,7.149348e+003,-2.577594e+001
2.433000e+001,1.013445e+004,1.004465e+004,7.144516e+003,8.980114e+001
2.434000e+001,1.021936e+004,1.020830e+004,7.139687e+003,1.106080e+001
2.435000e+001,1.024937e+004,1.031233e+004,7.134861e+003,-6.295828e+001
2.436000e+001,1.030101e+004,1.031426e+004,7.130039e+003,-1.324948e+001
2.437000e+001,1.029501e+004,1.021294e+004,7.125220e+003,8.206950e+001
2.438000e+001,1.006976e+004,1.004444e+004,7.120405e+003,2.532310e+001
2.439000e+001,9.899113e+003,9.841087e+003,7.115593e+003,5.802621e+001
