Meta Data
Label,Value,
Date,5/9/2022
Profile,HillsAndValleys
ScanDuration,300 s
ScanLength,7378.92 µm
ScanResolution,0.0819862 µm
ScanType,Standard Scan
StylusForce,5 mg
StylusScanRange,524 µm
StylusType,Radius: 12.5 μm
Time,12:08:19 PM


Data Leveling Position
R Cursor Position,1701.88708457139 µm
R Cursor Width,0 µm
M Cursor Position,2236.26366251348 µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
12.0519681767803,319.358186731278,,
12.1339543548536,314.121919251569,,
12.2159405329269,317.22524538076,,
12.2979267110003,298.707598462964,,
12.3799128890736,298.458430930069,,
12.4618990671469,287.484689908101,,
12.5438852452203,285.843042951134,,
12.6258714232936,274.170868855794,,
12.707857601367,262.6973563839,,
12.7898437794403,262.338728833776,,
12.8718299575136,263.861409884975,,
12.953816135587,257.300260032387,,
13.0358023136603,272.821618304467,,
13.1177884917336,260.823326581968,,
13.199774669807,260.765006874411,,
13.2817608478803,273.697865436488,,
13.3637470259536,279.59849005201,,
13.445733204027,297.610856906228,,
13.5277193821003,296.99484935643,,
13.6097055601736,296.410205235634,,
13.691691738247,295.628808062542,,
13.7736779163203,304.420711296615,,
13.8556640943936,302.465875792624,,
13.937650272467,289.107130326493,,
14.0196364505403,274.718302307632,,
14.1016226286137,280.643457640697,,
14.183608806687,278.10287999218,,
14.2655949847603,267.130436622672,,
14.3475811628337,278.36894359586,,
14.429567340907,282.444803351842,,
14.5115535189803,288.390277585388,,
14.5935396970537,295.431816759155,,
14.675525875127,302.570993708076,,
14.7575120532003,288.761901467885,,
14.8394982312737,293.52294601647,,
14.921484409347,267.609368177613,,
15.0034705874203,261.205698196321,,
15.0854567654937,266.189044127694,,
15.167442943567,272.931557297596,,
15.2494291216403,270.940406611084,,
15.3314152997137,269.73612550021,,
15.413401477787,269.481224340833,,
15.4953876558604,260.371069041475,,
15.5773738339337,262.777898536176,,
15.659360012007,267.498680055425,,
15.7413461900804,274.531334789386,,
15.8233323681537,283.649063986424,,
15.905318546227,284.382165748788,,
15.9873047243004,286.197500771772,,
16.0692909023737,289.008151072929,,
16.151277080447,292.54859376961,,
16.2332632585204,306.439791549848,,
16.3152494365937,290.002183693089,,
