,cond_re,cond_im,freq,grid,np_size,wires
6,4.762243371422781,-0.5783177226213381,0.5999999999999999,90,0.06,True
7,4.765172066557777,-0.5477655341352418,0.6499999999999999,90,0.06,True
8,4.763872708153847,-0.6167468696481677,0.7,90,0.06,True
9,4.785488040742022,-0.6079860367125373,0.7499999999999999,90,0.06,True
10,4.774371299924377,-0.661889313648911,0.7999999999999998,90,0.06,True
11,4.8041516156172595,-0.6701108098579995,0.8499999999999999,90,0.06,True
12,4.790111690409054,-0.7072308004670445,0.8999999999999999,90,0.06,True
13,4.821503087124338,-0.7312929713783928,0.95,90,0.06,True
14,4.809265885534704,-0.7581030912748,0.9999999999999998,90,0.06,True
15,4.836727704867882,-0.7920401072279339,1.0499999999999998,90,0.06,True
16,4.829796487686843,-0.8121661312682065,1.0999999999999999,90,0.06,True
17,4.852199244119814,-0.8531647441746606,1.15,90,0.06,True
18,4.852582467634689,-0.8692270703621646,1.1999999999999997,90,0.06,True
19,4.869533867880429,-0.914048026115554,1.2499999999999998,90,0.06,True
20,4.878112874943279,-0.9278171490041653,1.2999999999999998,90,0.06,True
21,4.888973064693103,-0.9732408228090431,1.3499999999999999,90,0.06,True
22,4.905466072524289,-0.9867008723294115,1.3999999999999997,90,0.06,True
23,4.909597400164459,-1.0301778252343619,1.4499999999999997,90,0.06,True
24,4.933337340102401,-1.0461525987773905,1.4999999999999998,90,0.06,True
25,4.931056636279529,-1.0855365111574489,1.5499999999999998,90,0.06,True
