d_wires,d_smp,ea,eb,f,period,siga,sigb,freq,pct_re,pct_im,path,nh
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.5000000000000004,-0.485511660638835,0.783312723711335,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.6000000000000003,-0.5002927830306874,0.8049765368003334,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.7000000000000004,-0.5154323930536719,0.8352509200502667,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.8000000000000005,-0.5097013730614464,0.8711954806298428,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.9000000000000006,-0.5140949651434568,0.9392169346023365,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,2.000000000000001,-0.5738049782593464,1.0145133713305565,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,2.1000000000000005,-0.6744865180826451,1.0382662379900705,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.2,0.0169672902163569,0.6086264769021726,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.30000000000000004,-0.47815655311924843,0.24898360329839828,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.4000000000000001,-0.5315060351048118,0.08279818223931411,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.5000000000000001,-0.5013517499952371,0.1481898603757302,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.6000000000000001,-0.5284200322360277,0.23480514790918758,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.7000000000000002,-0.5903493166768499,0.3004377972244898,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.8000000000000003,-0.6107223889715243,0.33037077583220054,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.9000000000000001,-0.5945177519460003,0.37610002937881715,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.0000000000000002,-0.5844332305670292,0.44626695689686,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.1000000000000003,-0.5958008075478176,0.5120502291405529,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.2000000000000004,-0.6079607502108502,0.5567995221106719,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.3000000000000003,-0.6037020338597046,0.5950529312029497,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,19
