#
#"Frequency / THz"	"Eps'' (Fit) [Real Part]"
#-------------------------------------------
0.35645645856857	0.0020345787052065
0.35855856537819	0.0020464644767344
0.35971027612686	0.0020529753528535
0.36066067218781	0.0020583479199558
0.36276274919510	0.0020702295005322
0.36486485600471	0.0020821092184633
0.36696696281433	0.0020939868409187
0.36906906962395	0.0021058623678982
0.37111854553223	0.0021174387075007
0.37117117643356	0.0021177360322326
0.37327328324318	0.0021296073682606
0.37537539005280	0.0021414768416435
0.37747746706009	0.0021533442195505
0.37957957386971	0.0021652097348124
0.38168168067932	0.0021770729217678
0.38288864493370	0.0021838834509254
0.38378378748894	0.0021889340132475
0.38588589429855	0.0022007930092514
0.38798800110817	0.0022126499097794
0.39009007811546	0.0022245047148317
0.39219218492508	0.0022363571915776
0.39429429173470	0.0022482075728476
0.39503201842308	0.0022523661609739
