,cond_re,cond_im,freq,d_rot
14,2.963814672144756,-3.204987562639204,0.9999999999999998,80
15,2.978251802698322,-3.363783715465877,1.0499999999999998,80
16,2.972709187328935,-3.514001671003311,1.0999999999999999,80
17,2.979470301288392,-3.674233941978584,1.15,80
18,2.976753525068081,-3.8246478633257084,1.1999999999999997,80
19,2.9809049956153095,-3.9883091584424997,1.2499999999999998,80
20,2.9842713413618873,-4.138050195493701,1.2999999999999998,80
21,2.987696087819923,-4.3039955595327575,1.3499999999999999,80
22,2.994532602635772,-4.447709405468636,1.3999999999999997,80
23,2.993105065049266,-4.609349128363928,1.4499999999999997,80
24,3.002958499561633,-4.756986498673464,1.4999999999999998,80
25,2.99275726931826,-4.912072705498339,1.5499999999999998,80
26,3.0030587950582426,-5.065173720809373,1.5999999999999999,80
